Chromosome	Start	Ratio	MedianRatio	CopyNumber	BAF	estimatedBAF	Genotype	UncertaintyOfGT
1	1	-1	-1	2	-1	2	-	-1
1	50001	-1	-1	2	-1	2	-	-1
1	100001	-1	-1	2	-1	2	-	-1
1	150001	-1	-1	2	-1	2	-	-1
1	200001	-1	-1	2	-1	2	-	-1
1	250001	-1	-1	2	-1	2	-	-1
1	300001	-1	-1	2	-1	2	-	-1
1	350001	-1	-1	2	-1	2	-	-1
1	400001	-1	-1	2	-1	2	-	-1
1	450001	-1	-1	2	-1	2	-	-1
1	500001	-1	-1	2	-1	2	-	-1
1	550001	-1	-1	2	-1	2	-	-1
1	600001	-1	-1	2	-1	2	-	-1
1	650001	-1	-1	2	-1	2	-	-1
1	700001	-1	-1	2	-1	2	-	-1
1	750001	-1	-1	2	-1	2	-	-1
1	800001	-1	-1	2	-1	2	-	-1
1	850001	-1	-1	2	-1	2	-	-1
1	900001	-1	-1	2	-1	2	-	-1
1	950001	-1	-1	2	-1	2	-	-1
1	1000001	-1	-1	2	-1	2	-	-1
1	1050001	-1	-1	2	-1	2	-	-1
1	1100001	-1	-1	2	-1	2	-	-1
1	1150001	-1	-1	2	-1	2	-	-1
1	1200001	-1	-1	2	-1	2	-	-1
1	1250001	-1	-1	2	-1	2	-	-1
1	1300001	-1	-1	2	-1	2	-	-1
1	1350001	-1	-1	2	-1	2	-	-1
1	1400001	-1	-1	2	-1	2	-	-1
1	1450001	-1	-1	2	-1	2	-	-1
1	1500001	-1	-1	2	-1	2	-	-1
1	1550001	-1	-1	2	-1	2	-	-1
1	1600001	-1	-1	2	-1	2	-	-1
1	1650001	-1	-1	2	-1	2	-	-1
1	1700001	-1	-1	2	-1	2	-	-1
1	1750001	-1	-1	2	-1	2	-	-1
1	1800001	-1	-1	2	-1	2	-	-1
1	1850001	-1	-1	2	-1	2	-	-1
1	1900001	-1	-1	2	-1	2	-	-1
1	1950001	-1	-1	2	-1	2	-	-1
1	2000001	-1	-1	2	-1	2	-	-1
1	2050001	-1	-1	2	-1	2	-	-1
1	2100001	-1	-1	2	-1	2	-	-1
1	2150001	-1	-1	2	-1	2	-	-1
1	2200001	-1	-1	2	-1	2	-	-1
1	2250001	-1	-1	2	-1	2	-	-1
1	2300001	-1	-1	2	-1	2	-	-1
1	2350001	-1	-1	2	-1	2	-	-1
1	2400001	-1	-1	2	-1	2	-	-1
1	2450001	-1	-1	2	-1	2	-	-1
1	2500001	-1	-1	2	-1	2	-	-1
1	2550001	-1	-1	2	-1	2	-	-1
1	2600001	-1	-1	2	-1	2	-	-1
1	2650001	-1	-1	2	-1	2	-	-1
1	2700001	-1	-1	2	-1	2	-	-1
1	2750001	-1	-1	2	-1	2	-	-1
1	2800001	-1	-1	2	-1	2	-	-1
1	2850001	-1	-1	2	-1	2	-	-1
1	2900001	-1	-1	2	-1	2	-	-1
1	2950001	-1	-1	2	-1	2	-	-1
1	3000001	-1	-1	2	-1	2	-	-1
1	3050001	-1	-1	2	-1	2	-	-1
1	3100001	-1	-1	2	-1	2	-	-1
1	3150001	-1	-1	2	-1	2	-	-1
1	3200001	-1	-1	2	-1	2	-	-1
1	3250001	-1	-1	2	-1	2	-	-1
1	3300001	-1	-1	2	-1	2	-	-1
1	3350001	-1	-1	2	-1	2	-	-1
1	3400001	-1	-1	2	-1	2	-	-1
1	3450001	-1	-1	2	-1	2	-	-1
1	3500001	-1	-1	2	-1	2	-	-1
1	3550001	-1	-1	2	-1	2	-	-1
1	3600001	-1	-1	2	-1	2	-	-1
1	3650001	-1	-1	2	-1	2	-	-1
1	3700001	-1	-1	2	-1	2	-	-1
1	3750001	-1	-1	2	-1	2	-	-1
1	3800001	-1	-1	2	-1	2	-	-1
1	3850001	-1	-1	2	-1	2	-	-1
1	3900001	-1	-1	2	-1	2	-	-1
1	3950001	-1	-1	2	-1	2	-	-1
1	4000001	-1	-1	2	-1	2	-	-1
1	4050001	-1	-1	2	-1	2	-	-1
1	4100001	-1	-1	2	-1	2	-	-1
1	4150001	-1	-1	2	-1	2	-	-1
1	4200001	-1	-1	2	-1	2	-	-1
1	4250001	-1	-1	2	-1	2	-	-1
1	4300001	-1	-1	2	-1	2	-	-1
1	4350001	-1	-1	2	-1	2	-	-1
1	4400001	-1	-1	2	-1	2	-	-1
1	4450001	-1	-1	2	-1	2	-	-1
1	4500001	-1	-1	2	-1	2	-	-1
1	4550001	-1	-1	2	-1	2	-	-1
1	4600001	-1	-1	2	-1	2	-	-1
1	4650001	-1	-1	2	-1	2	-	-1
1	4700001	-1	-1	2	-1	2	-	-1
1	4750001	-1	-1	2	-1	2	-	-1
1	4800001	-1	-1	2	-1	2	-	-1
1	4850001	-1	-1	2	-1	2	-	-1
1	4900001	-1	-1	2	-1	2	-	-1
1	4950001	-1	-1	2	-1	2	-	-1
1	5000001	-1	-1	2	-1	2	-	-1
1	5050001	-1	-1	2	-1	2	-	-1
1	5100001	-1	-1	2	-1	2	-	-1
1	5150001	-1	-1	2	-1	2	-	-1
1	5200001	-1	-1	2	-1	2	-	-1
1	5250001	-1	-1	2	-1	2	-	-1
1	5300001	-1	-1	2	-1	2	-	-1
1	5350001	-1	-1	2	-1	2	-	-1
1	5400001	-1	-1	2	-1	2	-	-1
1	5450001	-1	-1	2	-1	2	-	-1
1	5500001	-1	-1	2	-1	2	-	-1
1	5550001	-1	-1	2	-1	2	-	-1
1	5600001	-1	-1	2	-1	2	-	-1
1	5650001	-1	-1	2	-1	2	-	-1
1	5700001	-1	-1	2	-1	2	-	-1
1	5750001	-1	-1	2	-1	2	-	-1
1	5800001	-1	-1	2	-1	2	-	-1
1	5850001	-1	-1	2	-1	2	-	-1
1	5900001	-1	-1	2	-1	2	-	-1
1	5950001	-1	-1	2	-1	2	-	-1
1	6000001	-1	-1	2	-1	2	-	-1
1	6050001	-1	-1	2	-1	2	-	-1
1	6100001	-1	-1	2	-1	2	-	-1
1	6150001	-1	-1	2	-1	2	-	-1
1	6200001	-1	-1	2	-1	2	-	-1
1	6250001	-1	-1	2	-1	2	-	-1
1	6300001	-1	-1	2	-1	2	-	-1
1	6350001	-1	-1	2	-1	2	-	-1
1	6400001	-1	-1	2	-1	2	-	-1
1	6450001	-1	-1	2	-1	2	-	-1
1	6500001	-1	-1	2	-1	2	-	-1
1	6550001	-1	-1	2	-1	2	-	-1
1	6600001	-1	-1	2	-1	2	-	-1
1	6650001	-1	-1	2	-1	2	-	-1
1	6700001	-1	-1	2	-1	2	-	-1
1	6750001	-1	-1	2	-1	2	-	-1
1	6800001	-1	-1	2	-1	2	-	-1
1	6850001	-1	-1	2	-1	2	-	-1
1	6900001	-1	-1	2	-1	2	-	-1
1	6950001	-1	-1	2	-1	2	-	-1
1	7000001	-1	-1	2	-1	2	-	-1
1	7050001	-1	-1	2	-1	2	-	-1
1	7100001	-1	-1	2	-1	2	-	-1
1	7150001	-1	-1	2	-1	2	-	-1
1	7200001	-1	-1	2	-1	2	-	-1
1	7250001	-1	-1	2	-1	2	-	-1
1	7300001	-1	-1	2	-1	2	-	-1
1	7350001	-1	-1	2	-1	2	-	-1
1	7400001	-1	-1	2	-1	2	-	-1
1	7450001	-1	-1	2	-1	2	-	-1
1	7500001	-1	-1	2	-1	2	-	-1
1	7550001	-1	-1	2	-1	2	-	-1
1	7600001	-1	-1	2	-1	2	-	-1
1	7650001	-1	-1	2	-1	2	-	-1
1	7700001	-1	-1	2	-1	2	-	-1
1	7750001	-1	-1	2	-1	2	-	-1
1	7800001	-1	-1	2	-1	2	-	-1
1	7850001	-1	-1	2	-1	2	-	-1
1	7900001	-1	-1	2	-1	2	-	-1
1	7950001	-1	-1	2	-1	2	-	-1
1	8000001	-1	-1	2	-1	2	-	-1
1	8050001	-1	-1	2	-1	2	-	-1
1	8100001	-1	-1	2	-1	2	-	-1
1	8150001	-1	-1	2	-1	2	-	-1
1	8200001	-1	-1	2	-1	2	-	-1
1	8250001	-1	-1	2	-1	2	-	-1
1	8300001	-1	-1	2	-1	2	-	-1
1	8350001	-1	-1	2	-1	2	-	-1
1	8400001	-1	-1	2	-1	2	-	-1
1	8450001	-1	-1	2	-1	2	-	-1
1	8500001	-1	-1	2	-1	2	-	-1
1	8550001	-1	-1	2	-1	2	-	-1
1	8600001	-1	-1	2	-1	2	-	-1
1	8650001	-1	-1	2	-1	2	-	-1
1	8700001	-1	-1	2	-1	2	-	-1
1	8750001	-1	-1	2	-1	2	-	-1
1	8800001	-1	-1	2	-1	2	-	-1
1	8850001	-1	-1	2	-1	2	-	-1
1	8900001	-1	-1	2	-1	2	-	-1
1	8950001	-1	-1	2	-1	2	-	-1
1	9000001	-1	-1	2	-1	2	-	-1
1	9050001	-1	-1	2	-1	2	-	-1
1	9100001	-1	-1	2	-1	2	-	-1
1	9150001	-1	-1	2	-1	2	-	-1
1	9200001	-1	-1	2	-1	2	-	-1
1	9250001	-1	-1	2	-1	2	-	-1
1	9300001	-1	-1	2	-1	2	-	-1
1	9350001	-1	-1	2	-1	2	-	-1
1	9400001	-1	-1	2	-1	2	-	-1
1	9450001	-1	-1	2	-1	2	-	-1
1	9500001	-1	-1	2	-1	2	-	-1
1	9550001	-1	-1	2	-1	2	-	-1
1	9600001	-1	-1	2	-1	2	-	-1
1	9650001	-1	-1	2	-1	2	-	-1
1	9700001	-1	-1	2	-1	2	-	-1
1	9750001	-1	-1	2	-1	2	-	-1
1	9800001	-1	-1	2	-1	2	-	-1
1	9850001	-1	-1	2	-1	2	-	-1
1	9900001	-1	-1	2	-1	2	-	-1
1	9950001	-1	-1	2	-1	2	-	-1
1	10000001	-1	-1	2	-1	2	-	-1
1	10050001	-1	-1	2	-1	2	-	-1
